TITLE,TYPEID,Name,Description,Icon_color,Long,Lat,URL,Thumb_URL,imageUrl,주소,fctyCd,gvmtCd
영종,18,영종,영종,R,126.474485,37.495541,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,YE,GS
군산(시청),19,군산(시청),군산(시청),R,126.798146,35.983541,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,전북 군산시조촌동 888,GU,GS
보령(시청),20,보령(시청),보령(시청),R,126.488145,36.393387,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,충남 보령시명천동 269-4,BO,GS
하남(시청),21,하남(시청),하남(시청),R,126.798,35.2,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,경기도 하남시신장동 520,HA,GS
부곡,22,부곡,부곡,R,126.778785,36.961648,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,BU,GS
순천(시청),23,순천(시청),순천(시청),R,127.547412,34.963728,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,전남 순천시장천동 53-1,SU,GS
목포(시청),24,목포(시청),목포(시청),R,126.422358,34.842483,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,전남 목포시용당동 1188-2,MO,GS
포항(시청),25,포항(시청),포항(시청),R,129.3117,36.004167,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,경북 포항시남구 대잠동 1001,PH,GS
동김천,26,동김천,동김천,R,128.141945,36.13288,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,DG,GS
금호,27,금호,금호,R,128.905566,35.943688,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,KH,GS
하동화력발전소,28,하동화력발전소,하동화력발전소,R,126.7882,34.9549,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,경남 하동군금성면가덕리310,HD,NP
영월화력발전소,29,영월화력발전소,영월화력발전소,R,128.4909,37.2011,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,강원도 영열군영월읍정양리,YW,NP
영동화력발전소,30,영동화력발전소,영동화력발전소,R,128.9817,37.7385,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,강원도 강릉시강동면대동리200,YD,EN
통영시청,31,통영시청,통영시청,R,128.433,34.854,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경남 통영시통영해안로515(무전동357),TY,GN
청주시청,32,청주시청,청주시청,R,127.29,36.38,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충북 청주시상당구상당로155,CJ,CP
교원대학교,33,교원대학교,교원대학교,R,127.358,36.6135,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,충북 청원군감내면 태성탑연로 250,KU,AC
한전원전연료(주),34,한전원전연료(주),한전원전연료(주),R,127.223868,36.256908,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,대전광역시 유성구대덕대로989번길242(대진동),NA,NF
한전원전연료(주),35,한전원전연료(주),한전원전연료(주),R,127.223868,36.256908,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,http://10.32.28.204:8001/img/common/ico_map09.png,대전광역시 유성구대덕대로989번길242(대진동),NB,NF
